TAZ,CostIIF,CostXXF,CostIXF,CostHBW,CostHBO,CostNHB,CostREC,CostXXP,TimeDiff,TotalFreigh,TotalPass,TotalREC,TotalHBW,TotalHBO,TotalNHB,TotalItime,TotalBtime,TotalTDiff
1,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,194045334.1,194045334.1,0
2,0,0,0,0,0,0,0,0,3562.1,0,0,0,0,0,0,194235922,194239484.1,3562.1
3,0,0,0,0,0,0,0,0,3562.1,51646501.48,7826.24,0,0,0,0,193969119.3,193972681.4,7124.2
4,0,0,0,0,0,0,0,0,3562.1,0,0,0,0,0,0,194096978.4,194100540.5,10686.3
5,0,0,0,0,0,0,0,0,3562.1,0,533.8,0,0,0,0,194200993.6,194204555.7,14248.4
6,0,42011.8,0,0,0,0,0,0,3562.1,788073.34,600.3,0,0,0,0,194720003.7,194723565.8,17810.5
7,0,0,0,0,0,0,0,0,3649.54,31.08,0,0,0,0,0,195390643.3,195394292.9,21460.04
8,0,0,0,0,0,0,0,0,3649.54,50554.01,0,0,0,0,0,195115098.7,195118748.2,25109.58
9,0,0,0,0,0,0,0,0,3649.54,0,0,0,0,0,0,195209027,195212676.5,28759.12
10,0,306569.31,0,0,0,0,0,0,3649.54,1605221.11,0,0,0,0,0,194651328.1,194654977.7,32408.66
11,0,0,0,0,0,0,0,0,3649.54,0,0,0,0,0,0,194475736.1,194479385.6,36058.2
12,0,1729169.5,0,0,0,0,0,300215.04,3649.54,22169680.52,2591.68,0,0,0,0,194103572.2,194107221.7,39707.74
13,0,0,0,0,0,0,0,320831.75,6836.44,1.27,792.59,0,0,0,0,194249804.6,194256641.1,46544.18
14,0,0,0,0,0,0,0,0,6836.44,0,0,0,0,0,0,194495235.2,194502071.6,53380.62
15,0,0,0,0,0,0,0,0,6836.44,0,0,0,0,0,0,194632709,194639545.4,60217.06
16,0,0,0,0,0,0,0,0,6836.44,265.29,0,0,0,0,0,194673459.5,194680295.9,67053.5
17,0,0,0,0,0,0,0,0,11865.92,10.34,0,0,0,0,0,193798256,193810122,78919.42
18,0,347573716.1,39.05,0,0,0,0,1064844.52,11931.8,43581262.56,3907.17,0,0,0,0,193387353.8,193399285.6,90851.22
19,0,0,0,0,0,0,0,0,13213.04,66709.7,0,0,0,0,0,193768623.4,193781836.4,104064.26
