Distance,HBW,HBO,NHB
5,689901.01,3078631.81,1086568.9
10,475292.19,717895.46,850754.06
15,272786.02,258697.59,380915.72
20,153339.73,118122.37,199442.4
25,108748.49,68907.81,122122.81
30,75574.2,48769.69,76574.4
35,53964.23,28666.18,52560.06
40,29203.96,9586.64,36264.04
45,9719.3,5991.5,20148.64
50,4489.08,4801.84,8772.52
55,3256.98,3826.02,4954.28
60,2622.15,2891.61,3960.55
65,1874.03,2070.19,3134.55
70,1393.01,1582.05,2352.86
75,1227.24,1364.63,1791.07
80,1160.66,1266.34,1540.54
85,1154.19,1243.75,1326.86
90,1107.87,1239.67,1148.88
95,1041.2,1133.05,1095.15
100,914.06,975.78,1033.8
105,836.16,838.84,922.58
110,837.61,847.52,861.65
115,921.93,968.24,797.83
120,815.36,875.27,751.45
125,19024.54,20654.25,21214.2
